Text,"Annotator1, before discussion",,,"Annotator1, after discussion",,,"Annotator2, before discussion",,,"Annotator2, after discussion",,
"Seems with men realizing their odds of dating, marriage and family being a lost cause",,1,,,,,,1,,,,
And as for what we were doing what he said Xept instead of doing nothing I've been practising my Parseltongue so I can actually talk to my snake army instead of having to attempt to communicate using vague sign-language Cos snakes aren't very good at sign language Something to do with the lack of arms,1,,,,,,,1,,,,
"They've been trying for many years to make this law, but have been repeatedly quashed by religious conservatives. Of course, just having the law will not end the practice. Hopefully, they will start prosecuting. And maybe it will eliminate Sudan as a place for Muslims in Western countries to take their girls to be cut.",,1,,,,,,1,,,,
Would you think it appropriate to carry a sign saying ?God Hates Fags? at a funeral service of a gay person while that gay guy?s friends and mourners are in attendance? Would it be okay for me to go into an Easter parade or outside Christian church retreat or service and hand out leaflets criticizing Christianity and supporting Islam?,,1,,,,,,1,,,,
"Flying while Muslim is no more agreeable, but the ultimate goal is so much more important than simply catching petty thieves and drug dealers. So hell yeah it makes sense to profile. A lot more sense than strip searching eighty year old white grandmas.",,,1,,,,,1,,,,
and as I said before I feel that someone should be free to walk around wearing a tent and a bag over her head just as I feel that someone should be free to walk around wearing a chicken-suit if they so desire,1,,,,,,1,,,,,
"JP deliberately provoked transgender rulings in a university setting to get attention and FAME, where he was dealt with by the staff of said university. He has prospered from his momentary fame and his mediocre books. He was never canceled, blocked, or censored.",,1,,,,,,1,,,,
"The Ivy League Colleges of America all have Christian Charters. Is there a single Atheist college with such a charter in America, or even Europe for that matter? No.",,1,,,,,,1,,,,
"This is not just a debate over Women's Rights, this is also actually a debate on how to punish Planned Parenthood for the organisation's extreme corruption and history of defending a racist white supremacist.",,1,,,,,,1,,,,
"Socialism wasn't created by Jews. Jews stole socialism so they had an excuse to rule the people around them, like in the Russian Empire. You thinking that socialism was created by Jews to full fill their Zionist Occupation Government is a Nazi like standpoint.",,1,,,,,,1,,,,
"Older black male: ?Because that's ours. We worked for it, put it in, you know. I think we should have it.?",,,1,,,,1,,,,,
"Well non islamic countries cant insult their islamic trading parties can they...hence why islamophobia will be banned soon and islamic migration will continue to infest the world...hence the hypocritical reporting by MSM... This will continue of course whilst islam relies on dhimmitude, victimization, taqiyaa, islamophobia, political correctness and multiculturalism....and permits islamic dog whistles into congress to ""raise hell""",,1,,,,,,1,,,,
"Then there's the annual mutton giveaway in Texas... yes, in San Angelo, Texas, evangelicals full of Christian luff for God's People, select 27 choice sheep and ship them, at ""enormous cost,"" by chartered airplane as a gift to a small agricultural commune, or KIBBUTZ.",1,,,,,,1,,,,,
There are interesting things to discuss regarding this mass shooting regarding gun laws and how we react to them when it's a white guy as opposed to a Muslim.,,1,,,,,,1,,,,
"WASHINGTON - The U.S. Supreme Court on Monday required Arizona to continue to issue driver's licenses to the young adult immigrants known as Dreamers, refusing to hear the state's challenge to an Obama-era program that protects hundreds of thousands of people brought into the country illegally as children.",,1,,,,,,1,,,,
He is doing a good job. It would be a great job if he didn’t have all those old man moments. Keep in mind all his job is is repeating what others tell him to say. It is those making policy and telling him what to do that are not doing a great job.,,1,,,,,,1,,,,
An estimated NUM million cases of foodborne disease occur each year in the United States The great majority of these cases are mild and cause symptoms for only a day or two Some cases are more serious and CDC estimates that there are NUM,,,1,,,,,1,,,,
Who are you? Do you own a house in your name in Chicago? Do you speak English only every day? Are you a US citizen with an oath pledging to pay taxes and be going for defending a constitution that even the senators who pledge to defend don't defend? Are you white? Just how white? Are you Christian? If you said not to most of those questions? Then why the fuck are you always worried about criticisms to the US government? Do you see why I really think you are LAZY? It is obvious you never read a damn,,1,,,,,,1,,,,
Dr Joseph Graves Jr research concerns the evolutionary genetics of postponed aging and biological concepts of race in humans with over sixty papers and book chapters published and had appeared in six documentary films and numerous television interviews on these general topics He has been a Principal Investigator on grants from the National Institutes of Health National Science Foundation and the Arizona Disease Research Commission,,1,,,,,1,,,,,
Romney will begin by reversing Obama-era defense cuts and return to the budget baseline established by Secretary Robert Gates in NUM with the goal of setting core defense spending  meaning funds devoted to the fundamental military components of personnel operations and maintenance procurement and research and development  at a floor of NUM percent of GDP gross domestic product,,1,,,,,,1,,,,
Well christianity had been reformed but apparently many christians still hate jews. And so does many athiests.,,1,,,,,,1,,,,
NUM.Greece and Turkey had an civilian exchange programm in beginning of last century Except Turks of Greece in Thrace and Turkish Greeks on Westcoast of Turkey there was a mutual exchange So i do not get the point of claiming that for example in Pontus Black Sea there are no Greeks left It is the same when i claim why there are no Turks even more in Thesaloniki or Piräus or Athens Because there was a population exchange except Westcoast of Turkey and Thrace of Greece,,1,,,,,,1,,,,
it would be stupid to consider having an official policy of regime stage equal to launching an invasion of a non-threatening soveriegn arab state,,1,,,,,,1,,,,
yea and they are becoming a grave danger to the world. i really dont know if this country can take two more years????? can it.,,1,,,,,,1,,,,
"""GLSEN leads the movement in creating affirming... and anti-racist spaces for LGBTQIA+ students. We are proud of 10+ years of collaboration with GLSEN and continue to support their mission,"" Target said. The retail giant provides annual donations to GLSEN.",,,1,,,,,,1,,,
"Use it again! Federal Lynching KKK churchstate of hate fiefdom enforcement must be the not so new master race ""man is God"" master plan following their template of Russia's Orthodox Church rootin' tootin' Putin fabricated Nazi misnomers in annihilation of Ukraine just as the Catholic Church immaculate drug conceptions; as it is predominately South America's export along with illegal immigrants & aliens in that megalomaniacal rule the earth & destroy the world to the USA; where SCOTUS initiated with granting standing to those burning Bush's 9/11 Islam ""death to the infidels"" health care plan fabricated Islam misnomers patriot act propaganda",,1,,,,,,1,,,,
Trump denied that Russia interfered in NUM​,,1,,,,,1,,,,,
"Again, what if they were totally cut off and security on the perimeter was rock solid, nothing going in nothing going out. No food, no water, no power, no communications. In six weeks it'd be a grave yard to them and their movement. These people are not peaceful protesters they are terrorists and criminals. They haven't an ounce of humanity in the whole lot, they are not there for George Floyd or BLM or anything else, not even their phoney baloney manifesto. They are there because of their sick quest for validation. Everyone of them have failed as human beings,",,1,,,,,,1,,,,
"Newslime is the major reason Californians are making a mass exodus from the woke state. One of Newsome's priorities is not national defense, law, crime or the economy...it's reparations for blacks. That's his forte, **** out gimmies for the lowest forms of humanity. Newslime is a white Obammy.",1,,,,,,1,,,,,
"Yes dummy, another off topic low level ad hom....now of course, since you know what the truth is, and presumably right and wrong, please enlighten us? Otherwise STFU and exit the thread.....all you're good for is ad hom, so unless you're prepared to join the discussion in a constructive manner, you're just showing your ""true"" disruptive colours Jew lover.",,1,,,,,1,,,,,
"1. for perky problem solution is Garlic 2. for CO2 reasons Lemon reflex slips nice 3. and for real threat ultra defense is CBD now lets assume we all have confidence in the system and are blindly ready on compromises without further bioethical debates around this recent genetic revolution pushed on small door through the m'rna vaccines, will this make the humanity better, think no, simply its word for experimental tech used en'masse, so we can only hope for the best, but in same time we need to expect also the worst, staying sane day after mids eugenix inc. will",,,1,,,,1,,,,,
Ask how non Muslims living in Muslim countries are treated. What kind of freedom is afforded Dhimmis in Muslim cultures?,,1,,,,,,1,,,,
If current trends and immigration policies continue Hispanics will clearly soon replace blacks as America’s most disadvantaged ethnic group On some key indicators they are already in last place,,1,,,,,,1,,,,
"… my neighbor has goat ears and lions nose with fish eye, can I mate with him mom - asks the girl from the human minority tribe in future-york somewhere in Africa ...",,1,,,,,,1,,,,
"A discussion with a Christian elder led to the issues of abortion and gay marriage. To my surprise, he stated that, ""the pages are blank"" on those issues - meaning they're not in the Bible. It is true. Nowhere in the Bible does it explicitly state, ""Thou shalt not abort""....but I don't think the pages are blank. So I did my own research. THE PAGES ARE INDEED NOT BLANK! Here are the results.",,1,,,,,,1,,,,
"Who has claimed they are not a person? I associate with other humans, and most my closest friends are those who I find the least disagreement with, LGBTQ, black, white, Asian, Hispanic, Religious, non-religious, Left wing, Right wing, rich, poor, middle class, etc. only comes into play as a result of politics and politicians/others who use such differences as a primary means of dividing us into useful voting blocs for their own benefit.",,1,,,,,,1,,,,
"I can just hear the Cialis music now. Draaaaaaa, dra, dra dra dwaa. What a freaking cop out of the subject. You closet queers just gotta bend over and bear it!!!!! These macho men with little pussy brains are going to f**k your brains out!!!!!!",,1,,,,,,1,,,,
"For what it's worth, former commie turned conservative David Horowitz has explained why Jews have historically aligned with the Left and the internationalism associated with it in his books, and he attributes it partly to the Left's utopian vision serving as a replacement for religion and partly to the effort on the part of the Jewish diaspora to overcome the oppression, marginalization and alienation they experienced as a stateless minority group in countries around the world. It's a fascinating story, actually.",1,,,,,,1,,,,,
"A team of computer experts directed by lawyers allied with President Donald Trump copied sensitive data from election systems in Georgia as part of a secretive, multistate effort to access voting equipment that was broader, more organized and more successful than previously reported, according to emails and other records obtained by The Washington Post.",,1,,,,,,1,,,,
My favourite Latino artwork though is not done by a famous artist but by poor and anonymous women arpilleras,,1,,,,,,1,,,,
"there is intersting work done by a guy whose name i can't rememerb but he talks abou the developmetn of political and racial identities in the black community of the twentieth century. the very strength of the racial idenitifcation in the first place that lead to the success of the civil rights movement, eventuall becomes a tyrnay where a black community may only identify themselves with being one thing that is ""black"" when they are this but also many otehr things.",,1,,,,,,1,,,,
Animals and avians do not have immortal souls. I eat a lot of chicken and turkey.,,1,,,,,,1,,,,
"First off - homosapiens did not evolve from ""monkeys' - we, and they evolved from a common apelike ancester. There are many transitional fossils - each a seperate species - that shows the development from these ancestral forms to modern homosapiens. You can clearly see gradations of change from one to the other.",,1,,,,,,1,,,,
"Given that the GOP controlled Congress has completely abdicated its oversight authority over the Executive branch, and rubber-stamped every misbegotten, ill-concieved notion Chimpy and Co has put forward to undermine the Constitution, the separation of powers is on very shaky ground right now. So don't feel too secure about the separation of powers shielding us from despotism.",,1,,,,,,1,,,,
"""Christianity is an invention of sick brains. ... The best thing is to let Christianity die a natural death. ... We commence hostilities against the so-called Ten Commandments; the tablets from Sinai are no longer in force."" --Adolf Hitler",,1,,,,,1,,,,,
"This guy was as christian as any American except for the limited number of actual good Christians. He was raised on good christian American values, the ones that teach you that it is a good thing to slaughter Native Americans and then brag about your country being so great.",,,1,,,,,1,,,,
"Oh yeah, this is kind of an aside, but requiring people to register to read all the threads is totally gay. A smart person will realize that all he/she has to do is block cookies from being set by houseofpolitics.com and he/she will be able to surf all the threads without registering. An alternate method is to delete all cookies set by houseofpolitics.com when you get the message that you've viewed too many threads.",,1,,,,,,1,,,,
"So can they defund the 87,000 irs agents? They should work on that- THE BORDER! I feel like i am living in a world turned upside down and strange.? I have had half an eye on the Macy's day parade.. I see gay propaganda- punk rap- aids drug commercials? the last thing i saw was blacks on stilts. wtf?",,1,,,,,,1,,,,
"Ahhhh...I see. It's one of the founders of Memri that might get the cat's goat...lol. Yigal Carmon...am I right? Am I...lol?? Yeah...guess you wouldn't like his sort. However, the institute does employ Muslims as well as Jews .",,1,,,,,,1,,,,
"To say there are no transitional fossils is simply false. Paleontology has progressed a bit since Origin of Species was published, uncovering thousands of transitional fossils, by both the temporally restrictive and the less restrictive definitions. The fossil record is still spotty and always will be; erosion and the rarity of conditions favorable to fossilization make that inevitable. Also, transitions may occur in a small population, in a small area, and/or in a relatively short amount of time; when any of these conditions hold, the chances of finding the transitional fossils goes down. Still, there are still many instances where",,1,,,,,,1,,,,
"In short, it is not just that Western public opinion won’t tolerate many losses; it won’t tolerate for very long killing the enemy either unless the belligerents are something akin to the white, Christian Europeans of Milosevic’s Serbia, who, fortunately for NATO war planners in the Balkans, could not seek refuge behind any politically correct paradigm and so were bombed with impunity. Remember, multiculturalism always trumps fascism: the worst homophobe, the intolerant theocrat, and the woman-hating bigot is always sympathetic if he wears some third-world garb, mouths anti-Americanism, and looks most un-European. To win these wars, our soldiers must",,1,,,,,,1,,,,
"Let me point out to you that your narrowed views of what is and isn't perversion is simply the creation of a book. In many religions, including Christianity, there's tons of pedophilia, although on the surface we all tend to feel this is sick behavior, the fact remains you cherish a book that lively accepts it. So what is perverse and what isn't, as with beauty, is in the eye of the beholder.",,1,,,,,,1,,,,
"Ah, the good old ""the OT doesn't count,"" huh? It counts when you want to say being gay is a sin, or explain why creationism is ""true,"" but all of a sudden, it doesn't count when it's inconvenient for you.",,1,,,,,,1,,,,
"The association published three children’s books that authorities apparently suspect are metaphors for the political crisis. The books feature stories that revolve around a village of sheep that has to deal with wolves from a different village. The sheep take action like going on strike or escaping by boat, according to the synopses published on the association’s website.",,1,,,,,,1,,,,
"The lax parole laws in Canada have made sentences a farce for decades. What the story you quoted failed to mention is that parole is almost guaranteed after 1/3 of sentence is served for non-violent offenders, inc drug dealers and fraud artists. What is the point of having a judge decide on a proper sentence when the parole board will automatically release after 1/3rd is served?",,1,,,,,,1,,,,
reproduction came up as the essay so yes there is a chance of it being in question form this time. hmm what about the Darwin essay... i think it has a chance of being in the essay this time also. i would love gas exchange in plants with stomata mechanisms.. and maybe the stucture of the gut. parasites always seem to come up also!,,1,,,,,,1,,,,
"Isn't that what we do on here all day long? There is no single zeitgeist, and there is no single moral counterbalance. Without getting into religion too deeply, as I know you will want to avoid that, if I were to express disgust at the recent events in Egypt, two mini-zeitgeists would crop up immediately. The moralizing on the issue would be compared to either based on the person reading the post and the content would become meaningless. It would soon become zeitgeist vs zeitgeist.",,1,,,,,,1,,,,
"Investigative Project in the Animal Management Sector Number of assignments for unit: 1 - 12 very large tasks This unit is ""worth"" double, and has alot more work involved. Basically a research project. Averaging about 20,000 words. Similar to a dissertation i've been told, we have to complete and abstract, method, review of research etc. I'm currently completing mine on ' Congenital conditions in Pedigree dogs and the effects on the Veterinary indutry'",,1,,,,,,1,,,,
"doctors who have private practice are not salaried employees. They bill insurance companies. However, the ones that are salaried would probly be opposed to having their money cut in half. I’m not a doctor, so I don’t really have a dog in the fight.",,1,,,,,,1,,,,
"You have found your ""Saint"" in the persona of the Dunderhead who is ""Gonna make Amurika strong again!"" Gross BS. Uncle Sam IS strong, no doubt, but also economically unfair!",,1,,,,,,1,,,,
"If gays and lesbians, Natives, African-Americans, Latinos, Italians, disabled persons, and even women can get special recognition within the government and elsewhere, why can't I?",,1,,,,,1,,,,,
"If you're a selfish type that wants some immediate return on allowing your Cell Processor to soak up your electricity, fear not. The Folding@home PS3 client will put the RSX graphics chip to use to display the actual protein folding process in real-time. Users will be able to fly around a large black void examining the atoms and molecules that'll eventually save you or kill you off. Just think, the next time your girl friend gets mad because you're sitting on the couch with the PS3, you'll be able to look her straight in the eye with your best Clooney",,1,,,,,1,,,,,
"That is the whole point! I want to make sure they are ready for a surprise attack, but so far I've sat in this thread in a sheep costume for a whole day without being noticed! What if I WAS a real sheep",,1,,,,,,1,,,,
"They used your hatred of trump to dupe you into politicizing medicine. And guess what, stupid. They very likely killed you, ya retarded lab rat.",,1,,,,,,1,,,,
2. Pro gay marriage so as to water down the traditional meaning of marriage.,1,,,,,,1,,,,,
"If he’s not a normal straight man because he’s her age and still a virgin, then she’s not a normal straight woman either. If you think he is gay, why don’t you think she is a lesbian?",1,,,,,,,1,,,,
I guess that must be why chimpanzees gibbons wolves etc pursue it,,1,,,,,,1,,,,
"""Jews don't whine?????? Jews INVENTED whining. Admittedly, you've been treated like shit throughout history, and if this is what it means to be ""God's chosen people"", I'm grateful I was born Christian"",",,1,,,,,,1,,,,
Such subjective remarks may influence people like you Buffy who are attracted to them precisely because of their simplicity and subjectivity but they disgust people like me because they belittle the work of true historic and academic scholars.,1,,,,,,1,,,,,
"Well he's a boy, he was forced to do what men do, these days most men won't even do it because society has taught them that they are sheep and when wolves come, you must not fight them, you must call the shepherd.",,1,,,,,,1,,,,
"""Unvaccinated people are potential variant factories,"" Dr. William Schaffner, a professor in the Division of Infectious Diseases at Vanderbilt University Medical Center,",,1,,,,,1,,,,,
I'm so sick of blacks blaming whites for their problems. Look in the mirror first.,,1,,,,,,1,,,,
"Putnam also pelts us with utilitarian platitudes. Evidently, the ethnic engineering historic populations have suffered at the hands of soviet-style planners dwarfs compared to the long term benefits of mass, Third-World immigration. The many thousands of miserable individuals Putnam interviewed must soldier on, their pursuit of happiness sacrificed for the collective gains of cheap Tyson chicken and colorful cuisine.",,,1,,,,1,,,,,
making believe now isn't eternity is original sin of humanity as every reality is self evidently staging life pretending one isn't being eternally separated as equally inhabiting the moment here since conceived a fertilized cell that the nucleus became one's brain and unique DNA fingerprints of their cellular form and ancestral position occupying the moment here.,,1,,,,,,1,,,,
"Having said that Incels who do decide to to be single for whatever reason also need to respect women in any case. We had an incident in the UK last year where an incel went in a shooting rage because he was fed up with women rejecting him - and his opinion isn't alone. There is nothing wrong with taking a single route, but please don't feel resentment or entitlement.",,1,,,,,,1,,,,
"I have you beat, a rotary black phone .....on a party line and cheaper than $21 bucks a month. Its the cottage phone and Bell has been trying for years to get us to drop it for something better",,1,,,,,,1,,,,
"You are a funny guy. They're jumping ship, they don't want to have any association with a rat. They now see he is full of shit going into the 2nd half of his first year. Who knows these companies may end any support of republican congress and senate in their respective states. He is poison. A pimple on a hogs ass, etc.",,1,,,,,,1,,,,
"Then there was this guy in history, who said that he didn't have a problem with gay people, except that two men kissing would make him sick. Of course, two girls kissing would turn him on.",1,,,,,,1,,,,,
"Exactly. The rubes don't seem to mind it much when the Republican party whores itself out to farmers whose livelihoods tanked thanks to Trump's trade wars, or when it whores itself out to corporate America and billionaires by making it possible for them to pay zero in taxes, or by passing off a big GIVEAWAY to the filthy rich as some middle-class tax cut . Nor do they mind when the GOP whores itself out to the NRA, ""proud"" boys, neo-Nazis, supremacists, and similar vermin. Not to mention the fact that 11 OF THE LAST TEN RECESSIONS OCCURRED UNDER A",,,1,,,,,,1,,,
Wendy Williams was on howard stern yesterday and they were tlaking about how she outed a lot of rappers in the hip hop community and why she thought it was okay. I didn't hear it but my boyfriend told me about it. I think its good when people come out of the closet publicly. It begins to wear thin the veil of shame that's associated with being gay. Good for him.,1,,,,,,1,,,,,
"All three sources said more people were kidnapped, a health centre was ransacked, homes set on fire and a Catholic church desecrated.",,1,,,,,,1,,,,
Keep in mind this is a snapshot if we were ale to leave today at the speed of light The percentage of galaxies we can never visit grows by the minute If we just sit here long enough there will be no galaxies in the sky save for our own And then Hubble would lose the Great Debate,,1,,,,,,1,,,,
"Just 1,000 mountain gorillas remain in the wild. What happens if they get Covid-19? There’s no putting a face mask on a 300-plus-pound gorilla, but they can potentially be quarantined. A veterinarian explains.",,1,,,,,,1,,,,
"1978 Experimental Hepatitis B vaccine trials, conducted by the CDC, begin in New York, Los Angeles and San Francisco. Ads for research subjects specifically ask for promiscuous homosexual men.",,1,,,,,,1,,,,
"What republicans don't understand is when it comes to pink slips. They don't ask what political party you belong to. They don't care if you are a christian or not. There's no such thing as job security under this administration,you can always get a job at Mcdonalds.",,1,,,,,,1,,,,
Hey I'm really pleased to say I got an offer on Friday afternoon after my interview So I guess I'll be starting the Primary PGCE in September Good luck to everyone with upcoming interviews as others have said it's super relaxed so don't worry,,1,,,,,,1,,,,
"Before election day, the media was declaring a civil war in the Republican party, with traditional conservatives pitted against Trump populists. As the election has shown, that civil war never materialized, as Republicans united and put Trump in the White House.",,1,,,,,,1,,,,
I only got a 357magnum myself Taurus Model NUM Stainless-steel NUM-round Ported 28oz It is my favorite Squatchman you are good with pictures Could you post Taurus Model NUM  I will owe a favor,,1,,,,,,1,,,,
"IT PROVES that TAX DODGING RNC SCUM CARE NOTHING ABOUT ALL THE TAX$ THEY WASTE ON THEIR SILLY WARS! FROM THEIR DRUG WAR ON PEOPLE TO MIDDLE EASTERN SECTARIAN MUSLIM WARS TO THEIR PRESENT WARS ON VOTING, THEY ALWAYS ARE FIRST TO WANT TO WASTE TAX$ ON FAILED WARS!",,1,,,,,,1,,,,
"What will help ALP minds sleep at night is a narrative that the old cis straight white male ruined their chances, and it's time for them to step aside and let marginalised communities like the majority gender have a shot.",1,,,,,,1,,,,,
Left never post about this above or blacks being under vaxed compared to whites,,1,,,,,,1,,,,
"I want someone to answer me, what difference should it make if Geico did have a policy to charge under-educated blacks more than other groups.",,1,,,,,,1,,,,
"Remind me, who was in the White House when this story was supposedly suppressed by the government? Is there any evidence that the government gave orders to Twitter to suppress anything?",,1,,,,,,1,,,,
"When You’re Accustomed to Privilege, Equality Feels Like Oppression..... things started making a little more sense to me. All this anger we see from people screaming. All Lives Matter’ in response to black protesters at rallies. All this anger we see from people insisting that their religious freedom is being infringed because a gay couple wants to get married. All these people angry about immigrants, angry about Muslims, angry about Happy Holidays, angry about not being able to say bigoted things without being called a bigot...They all basically boil down to people who have grown accustomed to walking straight",,1,,,,,,1,,,,
"The Health/Lifestyle forum is the correct place to post a thread relating to homosexuality and its related topics, i.e. its nature, its practice, gay marriage, etc. If you start a homosexuality thread elsewhere on the forum, it very well may end up here. The reason for this is twofold: first, it keeps the other forums open for other topics, instead of being overrun by ""gay"" threads; second, it allows people to post arguments in existing threads instead of creating new threads for old arguments.",,1,,,,,,1,,,,
">1. Any death, enemy or friendly, accidental or deliberate, civilian or soldier, favors the terrorists. The Islamists have no claim on morality; Westerners do and show it hourly. So, in a strange way, images of the dead and dying are attributed only to our failing. If ours are killed, it is because those in power were not careful , most likely due to some supposed conspiracy . When Muslim enemies are killed, whether by intent or accidentally, the whole arsenal of Western postmodern thought comes into play. For the United States to have such power over life and",,1,,,,,,1,,,,
"No, I think he did mean ""god dork"". Carter was a freak - a devout Christian who actually believed in what he preached, and tried to practice it while in office. Needless to say, he was a disaster as POTUS. God alone knows why a man like that would want to be POTUS, and why anybody would actually vote for him. The Papacy made the same mistake only once in its history, when the cardinals elected a saint-like hermit as Pope Celestine V, because they thought, well, after all, we're Christians so we're supposed to believe in stuff. What a",,,1,,,,1,,,,,
"There were natives being killed as late as the early 1900's, thats not that long ago you know. Plus southwestern US was Northern Mexico, they are just coming back to their ancestral homes, just like the Jews claim in Palestine, only the Mexicans have roots going back only 100-200 years ago and not 2,000 years ago. So why can't the Mexicans come back to their ancestral land?",,,1,,,,,1,,,,
This isn’t just a couple stores in the South. There is a systematic attack on the gay community happening across the country. Wake up America. This doesn’t stop here. You’re black? You’re Asian? You’re Jewish? You’re a woman?,,1,,,,,,1,,,,
A totally windless environment on Earth Hogwash The astronaut brushes it with his arm you cannot argue with Jarrah White's analysis can you It is completely irrelevant that he says the flag moved before He shows quite clearly that the astronaut's elbow is easily close enough to brush the flag,,1,,,,,,1,,,,
"American anti-abortion laws are woefully backward. In the future, the whole world will allow abortion. Moreover, euthanasia for all of people, including the babies with serious birth defects and the old people with serious disease, will be legalized. All of deaths except accidental deaths will be painless euthanasia. Painful suicides, such as falling from a building or cutting one's wrists, will disappear.",,1,,,,,,1,,,,
"If the Negro wasn’t taken, tricked or deceived by the white liberal, then Negros would get together and solve our own problems...in America, the history of the white liberal has been nothing but a series of trickery designed to make Negros think that the white liberal was going to solve our problems. Our problems will never be solved by the white man. – Malcolm X",,1,,,,,,1,,,,
"""All attention has focused on the dramatic efficacy results: Pfizer reported 170 PCR confirmed covid-19 cases, split 8 to 162 between vaccine and placebo groups. But these numbers were dwarfed by a category of disease called suspected covid-19 those with symptomatic covid-19 that were not PCR confirmed. According to FDA’s report on Pfizer’s vaccine, there were 3410 total cases of suspected, but unconfirmed covid-19 in the overall study population, 1594 occurred in the vaccine group vs. 1816 in the placebo group.",,1,,,,,,1,,,,
"It's called ""context"", dude. A concept that is obviously very foreign to you!",,1,,,,,,1,,,,
"True. But I think that FDR realigned Jews in the US to the democratic party. The same as he did with Black Americans. I'm not saying that it's justified or reasonable, but that's the answer to the question ""why do American Jews lean left?""",,1,,,,,1,,,,,
Everyone at our school had to do Christianity as we only have 1 single lesson a week so we don't have enough time to do the 8 units let alone learn it from a different religion. Everyone has an idea of Christian teachings so I guess it's easier. What units do you do?,,1,,,,,,1,,,,
"Sadly, acts like this occur more than we would wish to know. If the story proves out to be accurate, and these young men are convicted of these crimes, they should be both punished for their crimes, and made a public example of what will happen when someone acts in such a depraved and evil manner.",,1,,,,,,1,,,,
"It's not like I haven't said it, and not like once already. But once again, and only if we really really have to get involved, we can help by working out fair and impartial principles of the settlement and sharing our views with both sides. We could start noticing and condemn any violation of these principles clearly and strongly, regardless of which side is involved. We could make gross violation of such principles, such as unprovoked attacks on civilians, continuing annexation of territory, etc result in real practical measures for the side involved, such as diplomatic action, reducing assistence and",,1,,,,,1,,,,,
"I'm in my early 30s and sexually experienced. I'm seeing a guy who is also sexually experienced. I think I might want to take things to the next level, but worried about what could go wrong. Also worried that he might be gay hence the lack of sexual experience, which would be a bigger disappointment should we try to take things to the next level.",,1,,,,,,1,,,,
"Four years after 9/11 the postmortem of that disaster continues to focus on the institutional failures of our intelligence agencies and government bureaucracies. Yet the larger intellectual and cultural corruption that in part made possible many of those misjudgments and mistakes does not receive the public attention it deserves. The politicizing of the academy, for example, that accelerated in the sixties had compromised the study of Islam and the Middle East long before Islamic terrorism appeared on our cultural radar. Because of this ideological distortion, centuries of consensus about the aggressive, intolerant, and expansionist nature of Islam an agreement",,1,,,,,,1,,,,
"I am often amused by anti gun advocates that threaten the lives of those advocating for the rights of people to be armed... or really, threaten the lives of anyone disagreeing with their agendas, like those of BLM, ANTIFA, abortion, LGBTQ rights, etc. To many, the Constitution is a provisional document to be weaponized when it suits their agenda but to be ignored when it doesn’t. Then there is the cognitive dissonance of their views; remove individual gun rights only allowing LE to possess them while simultaneously calling to defund police. We need anarchy... then, peace and nonviolence will reign...",,1,,,,,,1,,,,
